state,x,y
Andhra Pradesh,-72,-116
Arunachal Pradesh,225,133
Assam,182,89
Bihar,59,80
Chhattisgarh,-17,-19
Goa,-151,-107
Gujarat,-195,44
Haryana,-98,155
Himachal Pradesh,-67,200
Jharkhand,40,44
Karnataka,-134,-121
Kerala,-120,-188
Madhya Pradesh,-109,35
Maharashtra,-156,30
Manipur,208,54
Meghalaya,150,73
Mizoram,196,25
Nagaland,223,86
Odisha,20,-19
Punjab,-109,175
Rajasthan,-108,112
Sikkim,101,115
Tamil Nadu,-100,-185
Telangana,-77,-63
Tripura,152,38
Uttar Pradesh,-57,112
Uttarakhand,-46,167
West Bengal,90,32
Jammu and Kashmir,-110,244
